id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,review_scores_rating
29041963,14F Spacious Apt * Close to Southern Cross Station,204661584,Weyou Stay,,Melbourne,-37.81393,144.95389,Entire home/apt,160,1,19,22/03/19,3.45,26,141,98
29042238,2BDR/2BTH/Parking/Gym/Pool/Water view Apartment,30309380,Ricky,,Melbourne,-37.8216,144.94238,Entire home/apt,279,1,15,24/03/19,2.94,12,338,93.5
29042611,Neptune heaven,96384286,Claudia,,Port Phillip,-37.86393,144.97862,Private room,90,3,0,,,1,0,93.5
29043090,Queen room in new town house close to shops n pub,103578727,Brad,,Glen Eira,-37.92549,145.06051,Private room,200,1,0,,,1,89,100
29045361,2 bedrooms available in a house,218890809,Prab,,Wyndham,-37.85645,144.65477,Private room,79,1,5,07/04/19,1.97,1,335,100
29046633,Furnished studio near Queen Victoria market,183485499,Shanon,,Melbourne,-37.80742,144.95963,Entire home/apt,110,4,0,,,1,67,96
29048539,UNIT WITH HUGE COURTYARD GARDEN,95405960,Karen,,Glen Eira,-37.87957,145.00898,Entire home/apt,90,7,1,05/01/19,0.32,1,21,94
29054599,Modern yet affordable stay near Melbourne CBD,57010881,Tuan Anh,,Stonnington,-37.83887,145.00054,Private room,120,1,3,17/11/18,0.6,1,12,99
29058255,Two Private Bedrooms,30386963,Sammy,,Wyndham,-37.88649,144.71225,Private room,90,1,0,,,6,77,93.5
29061825,Ville du ciel 天空之城,108445315,Weilan,,Melbourne,-37.81444,144.9539,Entire home/apt,190,2,7,17/03/19,1.64,3,176,80
29063617,Inner City Resort,219013319,Greg,,Port Phillip,-37.8589,144.98695,Entire home/apt,2000,7,0,,,1,365,98
29064108,Deakin大学附近公寓,168492452,Long,,Whitehorse,-37.85164,145.13053,Entire home/apt,96,2,18,05/04/19,3.33,10,238,99
29065866,Haven in the Hills,26442792,Barry & Rhonda,,Cardinia,-37.92716,145.39859,Private room,75,1,5,30/03/19,0.93,1,109,93
29066964,Venus Place 2,219032456,Gloria,,Melton,-37.68285,144.73329,Private room,51,1,11,11/03/19,1.85,3,362,100
29068015,Box Hill Tower Apartment,219038250,Qinghui,,Whitehorse,-37.81653,145.11746,Entire home/apt,100,1,30,06/04/19,5.26,1,64,93.5
29068048,One private room to share,219010112,Moe,,Boroondara,-37.80568,145.02928,Private room,65,1,1,20/01/19,0.38,1,0,100
29069646,The Nest for Friends & Family,23278261,Fran,,Yarra,-37.81363,145.00733,Entire home/apt,286,2,6,19/01/19,1.1,1,96,100
29069823,Wonderful apartment in Southbank centre,142971702,Hassan,,Melbourne,-37.82239,144.96276,Entire home/apt,110,1,5,05/02/19,1.09,1,0,88
29070363,"Soak up the Modern, Minimal Style at a Business District Pad",34619398,Eduardo Luis,,Melbourne,-37.81406,144.95703,Entire home/apt,99,2,42,03/04/19,7.46,9,48,72
29070437,The Apartment you can call “HOME”,219052550,Xiaolan,,Maribyrnong,-37.78191,144.89378,Entire home/apt,108,2,17,07/04/19,2.88,2,322,80
29070921,Mst Room & En Suite in Sth Melbourne Luxury Escape,22306485,Daniel,,Port Phillip,-37.83334,144.97162,Private room,96,2,0,,,3,75,80
29071122,Venus Place 1,219032456,Gloria,,Melton,-37.68211,144.73226,Private room,66,1,7,02/03/19,1.47,3,362,95
29077864,"Large home in trendy AscotVale - 2 bed, 2.5 bath",33799109,Brooke,,Moonee Valley,-37.77635,144.91111,Entire home/apt,190,1,11,31/03/19,3.59,1,310,100
29079541,Cosy Court Mont Albert,69283881,Anne,,Whitehorse,-37.80126,145.11103,Entire home/apt,170,2,10,25/02/19,1.83,1,128,93
29080339,Melbourne CBD pad 墨尔本市中心独立小单元,108782350,Susan,,Melbourne,-37.82142,144.95704,Entire home/apt,90,3,1,27/10/18,0.18,1,345,93.5
29080937,Bird Hill - A cottage on a country lane,219157098,Ally,,Yarra Ranges,-37.7847,145.53458,Entire home/apt,170,1,4,31/03/19,3.16,1,345,100
29081326,Chic Modern Apartment with large balcony,559975,Megan,,Boroondara,-37.82191,145.04591,Entire home/apt,180,3,0,,,1,183,100
29081405,"Quiet Tree-Top Apartment,  20min. tram ride to MCG",219161153,Mary,,Boroondara,-37.83134,145.03813,Entire home/apt,120,2,12,30/03/19,2.42,2,96,73
29082271,St Kilda Studio,21574284,Anna,,Port Phillip,-37.87063,144.97682,Entire home/apt,100,2,15,22/03/19,2.76,2,87,85
29082491,Best in Western /PointCook/Melbourne /Werribee,36011853,Louis,,Wyndham,-37.89209,144.71334,Entire home/apt,198,3,5,17/03/19,0.95,7,125,93.5
29083742,Melbourne East  -  Swimming Pool - Private Room,447122,Rose,,Maroondah,-37.83822,145.30335,Private room,30,2,1,06/12/18,0.24,1,253,100
29084111,Heart CBD/1Min To Station/FREE(Park/Tram/POOL) L8,158100659,Nick,,Melbourne,-37.81675,144.95396,Entire home/apt,138,1,9,09/03/19,1.57,18,157,100
29084905,Resort living in Melbourne!,50157843,Brooke,,Wyndham,-37.89604,144.76094,Entire home/apt,129,5,4,19/03/19,1.2,1,97,93.5
29085001,Bright & Spacious Apartment - Near St Kilda,11496790,Kate,,Port Phillip,-37.86773,144.9967,Entire home/apt,84,4,2,19/01/19,0.62,1,93,93.5
29085551,"Private Room with Ensuite, Kitchenette,  DoorLock",219010903,Lovinea,,Hobsons Bay,-37.86666,144.76378,Private room,39,1,2,08/03/19,0.82,5,338,98
29085677,CBD Sunny Apt @Southern Cross Station南十字星火车站简欧酒店公寓,167467854,Mali,,Melbourne,-37.81436,144.95389,Entire home/apt,137,1,21,25/03/19,3.96,3,153,94
29087421,"Conventions, Casino, DFO doorstep, Superb Apt",12494940,Tina,,Melbourne,-37.82663,144.95862,Entire home/apt,145,1,18,27/03/19,3.62,2,130,95
29089343,"2 dogs, 1 cat, and my wife and I.",219213900,Alexander,,Wyndham,-37.83855,144.71687,Private room,35,1,4,21/03/19,0.73,1,179,84
29089493,Peace & comfort in Berwick,104426869,Manori,,Casey,-38.06009,145.35967,Private room,90,1,0,,,1,0,88
29090349,Large Melbourne Apartment near Chapel St/St Kilda,11519299,Holly,,Port Phillip,-37.86042,145.00534,Entire home/apt,120,3,0,,,1,79,93.5
29091028,Iconic Fitzroy Warehouse Conversion w/parking,46454880,Sam,,Yarra,-37.80478,144.977,Private room,75,2,27,07/04/19,5.96,1,60,93.5
29091034,"Balwyn high校区新房,干净整洁,环境优美,生活便利",104949250,Cindy,,Boroondara,-37.79808,145.08403,Private room,76,1,2,21/01/19,0.39,4,200,80
29092739,Good place to  travel and relax,104949250,Cindy,,Boroondara,-37.79891,145.08312,Private room,59,1,0,,,4,232,100
29101609,Toolern Vale farm stay with a pool!,21908163,Alex,,Melton,-37.61737,144.53363,Entire home/apt,250,2,6,11/03/19,1.32,13,174,100
29102720,Cozy house,209216211,Ivy,,Whitehorse,-37.84433,145.15173,Entire home/apt,258,2,0,,,2,180,90
29103000,Blackburn South cozy house,209216211,Ivy,,Whitehorse,-37.84375,145.15244,Entire home/apt,258,2,0,,,2,88,94
29104195,"Large room 7km from CBD. 350m to train, WIFI",20922613,Stacey,,Darebin,-37.78188,145.01585,Private room,63,2,18,05/04/19,3.07,3,361,98
29105700,Bright apartment close to the river,150199998,Nicolas,,Stonnington,-37.83468,144.99135,Private room,55,1,11,07/04/19,1.85,1,30,80
29107311,Brand new and quiet apartment in Sandringham!,151989189,Renata,,Bayside,-37.95432,145.02995,Entire home/apt,94,2,1,09/10/18,0.16,1,0,80
29107395,Brand New Exclusive South Yarra Apartment,189417021,Elite,,Stonnington,-37.83647,144.99545,Entire home/apt,129,2,12,03/04/19,2.54,3,0,88
29107792,[B45]市中心舒适2房1卫/双重门禁/免费wifi/免费电车,190179148,Apc,,Melbourne,-37.813,144.97003,Entire home/apt,190,1,1,30/12/18,0.3,12,63,93.5
29108049,Rhapsody StKilda Road,9028154,Joe,,Port Phillip,-37.84642,144.97844,Entire home/apt,151,2,0,,,28,311,98
